10,11,14,14,13,7,0,0,0,0,12,29,110
✓,9,10,13,14,13,5,0,0,0,0,12,26,102
X,1,1,1,0,0,2,0,0,0,0,0,3,8
PROFIT,"101,48%","142,83%","186,46%","373,94%","317,47%","-102,34%","0,00%","0,00%","0,00%","0,00%","238,33%","360,63%","1618,81%"
