13,11,0,0,0,0,0,0,5,7,11,14,61
✓,11,11,0,0,0,0,0,0,5,6,10,14,57
X,2,0,0,0,0,0,0,0,0,1,1,0,4
PROFIT,"70,38%","333,12%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","127,99%","49,62%","151,32%","363,01%","1095,45%"
